date,comment
2020. 4. 29.,"일본 기술력이   좋아요 난 그거  항상 느끼는데,"
2020. 4. 29.,"불매를 안했는데
불매하던 사람들 때매
나도 불매하는 사람으로 만들고
욕을 먹어야하는지몰겠음ㅠ"
2020. 4. 29.,"어디에 이렇게 싼 옷들 살곳이 어딨냐고..
걍 우리는 선동된거다"
2020. 4. 29.,"조선인은 누군가 멍석말이를 당하면 그에 대해 알아보려 하지는 않고, 다 함께 달려들어 무조건 몰매를 때리고 본다"
2020. 4. 29.,유니클로 옷품질 개 쓰래기라고 했던놈들이 ㅉㅉ
2020. 4. 29.,"대깨문 달창 문빠들
뭐만하면
친일파 토착왜구 ㅇㅈㄹㅋ"
2020. 4. 29.,"난  이럴 줄알았다.반일 불매운동하는 대깨문들 대부분이 아닌 대깨문들 전부들이 선택적
반일불매운동 했잔아요.  최근 야생의 숲 구입못해서 난리났잔아요
개그맨 유민상도 반일불매운동 하더니 야생의 숲 플레이영상 올려서
욕 쳐드시고 배불러서 유투브 영상 삭제하고 잠수 탔잔아요"
2020. 4. 29.,싫다 진짜 싫어 일본두 그 기업두 그걸일부러 사용하는 덜떨어진 애들두
2020. 4. 29.,유니클로 불매운동 할사람하고 안할사람 안하면 된다.하지만 난 국산을 최대한 이용한다. 난 대한민국 국민이니깐.
2020. 4. 29.,반일을 하던 뭘 하던 자유라 볼 수 있는데~ 왜 우파가 친일이라고 덮어씌우고 한일전 이런 프레임으로 이시국이니 뭐 이딴식으로 싸우냐 이 말이죠~ 선거에 그런 방법을 이용하는 자체가 비논리적이며 아주 야비하고 비겁한 방법인거죠 그게 걔들 수준입니다
2020. 4. 29.,역시 대한냄비
2020. 4. 29.,유니 남녀속옷은 정말좋다 어쩔수없다
2020. 4. 29.,이시국에 관짝에서 나와라
2020. 4. 29.,반일 불매를 해야하는데 너무 열받네요 다들 토착외구 친일파들이세요? 왜그렇게 불매를 안하는지.. 아사히맥주나 마시면서 닌텐도 동숲이나하면서 기분을 풀어야겟어요
2020. 4. 29.,한심 그 자체....
2020. 4. 29.,유니클로만 있으면 4계절 거뜬하긴 함
2020. 4. 29.,불매운동은 결국  자영업자 죽이는일
2020. 4. 29.,뇌에서 뇌수 줄줄흐르는 대가리깨진 문천지교인들이나 반일하지 ㅋㅋ
2020. 4. 29.,불매운동 안한다고 뭐라 하는 사람이나 그 사람들 까는 사람이나 같은 한국인이다.매국노로 매도 대깨문이라는 표현으로 매도 이런류가 문제라는건 영상을 찍은 사람도 알것이다. 선동하는 자들에 끌려다니는 개돼지만 되지 말자. 난 일본드라마 애니를 좋아하고 자주 찾지만 한일 감정이나 정치적 선동을하는 사람의 작품은 이용안한다.
2020. 4. 29.,노차이나!!  중국불매운동 왜 안하나
2020. 4. 29.,선거가 끝났으니 멍청한 국민들 반일선동 부채질할 이유가 없어져서 끝난 것이지요 ㅎㅎ
2020. 4. 29.,전 옷살때 무조건 유니클로 갑니다. 싸이즈가 유니클로밖에 맞는데가 없어서이기도 하지만..유니클로 원단 박음질 모두 그가격때 옷중에 젤로 깔끔합니다..불매? 그런것은 개나줘버려야합니다 ㅎ
2020. 4. 29.,일딴  니들 아가리에 넣고있는 쌀.밥 부터 고시히카리.아키바레 가 대다수인데 ㅋㅋ 어?그럼 빵먹으면 된다고?? 와 ㅋㅋ 너무좋은 방법인데?? 앞으로는 삼겹살에 빵싸먹고 김치에 빵올려먹고 국에도 빵말아먹어라 ㅋㅋㅋ
